Order_ID,Order_Date,Product_ID,Customer_ID,Region,Category,Quantity,Sales
1001,2026-01-05,P101,C001,North,Electronics,2,1200
1002,2026-01-08,P102,C002,South,Electronics,1,850
1003,2026-01-12,P103,C003,East,Furniture,3,450
1004,2026-01-18,P104,C004,West,Stationery,5,300
1005,2026-01-25,P105,C005,North,Furniture,2,700
1006,2026-02-03,P101,C006,South,Electronics,1,1200
1007,2026-02-09,P106,C007,East,Stationery,8,480
1008,2026-02-15,P107,C008,West,Electronics,2,1600
1009,2026-02-22,P108,C009,North,Furniture,1,950
1010,2026-03-04,P102,C010,South,Electronics,3,2550
1011,2026-03-11,P103,C001,East,Furniture,2,300
1012,2026-03-19,P104,C002,West,Stationery,10,600
1013,2026-03-26,P105,C003,North,Furniture,4,1400
1014,2026-04-06,P106,C004,South,Stationery,6,360
1015,2026-04-14,P107,C005,East,Electronics,1,800
1016,2026-04-21,P108,C006,West,Furniture,2,1900
1017,2026-05-03,P101,C007,North,Electronics,2,2400
1018,2026-05-10,P102,C008,South,Electronics,2,1700
1019,2026-05-18,P103,C009,East,Furniture,5,750
1020,2026-05-27,P104,C010,West,Stationery,7,420
